district,province,urban_male,urban_female,urban_total,rural_male,rural_female,rural_total,total_male,total_female,total_both,year
province Center(Gardez),Paktia,10800,10300,21100,27700,26500,54200,38500,36800,75300,1387
Said Karam,Paktia,,,0,30000,28400,58400,30000,28400,58400,1387
Zurmat,Paktia,,,0,50000,47800,97800,50000,47800,97800,1387
Shwak,Paktia,,,0,2600,2500,5100,2600,2500,5100,1387
Wuza Zadran,Paktia,,,0,16700,15600,32300,16700,15600,32300,1387
Laja Ahmad khel,Paktia,,,0,10700,10100,20800,10700,10100,20800,1387
Jani Khel,Paktia,,,0,16400,15400,31800,16400,15400,31800,1387
Dand Patan,Paktia,,,0,12400,11800,24199.998,12400,11800,24199.998,1387
Samkani,Paktia,,,0,22900,22600,45500,22900,22600,45500,1387
Jaji,Paktia,,,0,29400,27900,57300,29400,27900,57300,1387
Ahmad Abad,Paktia,,,0,12700,12600,25300,12700,12600,25300,1387
laja mangel,Paktia,,,0,8700,8400,17100,8700,8400,17100,1387
province Center(Khost),Khost,5200,4800,10000,58400,56500,114900,63600,61300,124900,1387
Tirzayee (Ali Sher),Khost,,,0,21000,19700,40700,21000,19700,40700,1387
Baak,Khost,,,0,10300,9800,20100,10300,9800,20100,1387
Jaji Maidan,Khost,,,0,11300,10600,21900,11300,10600,21900,1387
Sabari (Yaqubi),Khost,,,0,32800,31700,64500,32800,31700,64500,1387
Musa khel,Khost,,,0,19000,18300,37300,19000,18300,37300,1387
Qalandar,Khost,,,0,4800,4500,9300,4800,4500,9300,1387
Nadir Shah kot,Khost,,,0,15000,14000,29000,15000,14000,29000,1387
Manduzay (Esmayel khil),Khost,,,0,26400,24900,51300,26400,24900,51300,1387
Shamul,Khost,,,0,6400,6000,12400,6400,6000,12400,1387
Spera,Khost,,,0,11500,10700,22200,11500,10700,22200,1387
Tanay,Khost,,,0,27600,26600,54200,27600,26600,54200,1387
Gurbuz,Khost,,,0,12300,11500,23800,12300,11500,23800,1387
province Center (Jalalabad),Ningarhar,94200,88800,183000,,,0,94200,88800,183000,1387
Behsud,Ningarhar,,,0,52500,50900,103400,52500,50900,103400,1387
Surkh Rud,Ningarhar,,,0,56500,53100,109600,56500,53100,109600,1387
Chapar har,Ningarhar,,,0,27900,26900,54800,27900,26900,54800,1387
Rodat,Ningarhar,,,0,32300,30600,62899.996,32300,30600,62899.996,1387
Kama,Ningarhar,,,0,35800,34100,69900,35800,34100,69900,1387
Kuzkunar,Ningarhar,,,0,25800,24300,50100,25800,24300,50100,1387
Darah -e- Noor,Ningarhar,,,0,18700,18000,36700,18700,18000,36700,1387
Sher Zad,Ningarhar,,,0,30700,29600,60300,30700,29600,60300,1387
Hesarak,Ningarhar,,,0,14300,13700,28000,14300,13700,28000,1387
Khogyani,Ningarhar,2100,2000,4100,58800,55700,114500,60900,57700,118600,1387
Pachir Waagam,Ningarhar,,,0,19900,18800,38700,19900,18800,38700,1387
Deh Bala,Ningarhar,,,0,18800,17900,36700,18800,17900,36700,1387
Kott,Ningarhar,,,0,24000,23400,47400,24000,23400,47400,1387
Achin,Ningarhar,,,0,46400,44800,91200.008,46400,44800,91200.008,1387
Nazyan,Ningarhar,,,0,6900,6400,13300,6900,6400,13300,1387
Dur Baba,Ningarhar,,,0,10900,10300,21199.998,10900,10300,21199.998,1387
Shinwar,Ningarhar,,,0,27800,26700,54500,27800,26700,54500,1387
Bati Kot,Ningarhar,,,0,35100,33800,68900,35100,33800,68900,1387
Muhmand ِِDara,Ningarhar,,,0,21000,19900,40900,21000,19900,40900,1387
Goshta,Ningarhar,,,0,12600,12200,24800.002,12600,12200,24800.002,1387
Lalpoor,Ningarhar,,,0,9500,9100,18600,9500,9100,18600,1387
province Center (Asad Abad),Kunar,6200,5700,11900,9300,8800,18100,15500,14500,29999.998,1387
Watapoor,Kunar,,,0,12700,12200,24900,12700,12200,24900,1387
Dara-e- Pech,Kunar,,,0,25600,24200,49800,25600,24200,49800,1387
Narang Wa Badil,Kunar,,,0,14000,13500,27500,14000,13500,27500,1387
Sar Kani,Kunar,,,0,12600,12200,24800.002,12600,12200,24800.002,1387
Mara wara,Kunar,,,0,9400,9200,18600,9400,9200,18600,1387
Dangam,Kunar,,,0,7900,7500,15400,7900,7500,15400,1387
Bar Kunar,Kunar,,,0,10200,9800,20000,10200,9800,20000,1387
Shigal Wa Sheltan,Kunar,,,0,13600,13000,26600,13600,13000,26600,1387
Chapa Dara,Kunar,,,0,14500,13700,28200,14500,13700,28200,1387
Noorgal,Kunar,,,0,14900,13900,28800,14900,13900,28800,1387
Sawkai,Kunar,,,0,16700,15800,32500,16700,15800,32500,1387
Khas Kunar,Kunar,,,0,16100,15700,31800.002,16100,15700,31800.002,1387
Nari,Kunar,,,0,12900,12200,25100,12900,12200,25100,1387
Ghazi Abad,Kunar,,,0,8700,8300,17000,8700,8300,17000,1387
province Center (Mehterlam),Laghman,2300,2100,4400,61600,58500,120100,63900,60600,124500,1387
Qarghayee,Laghman,,,0,45700,43500,89200,45700,43500,89200,1387
Alingar,Laghman,,,0,45100,42900,88000,45100,42900,88000,1387
Alishing,Laghman,,,0,33100,31800,64900,33100,31800,64900,1387
Dawlat Shah,Laghman,,,0,15500,14700,30200,15500,14700,30200,1387
province Center (Paroon),Nooristan,,,0,6300,6000,12300,6300,6000,12300,1387
Noor Gram,Nooristan,,,0,15100,14300,29400,15100,14300,29400,1387
Duab,Nooristan,,,0,3500,3600,7100,3500,3600,7100,1387
Waygal,Nooristan,,,0,9400,8400,17800,9400,8400,17800,1387
Wama,Nooristan,,,0,5100,4900,10000,5100,4900,10000,1387
Mandol,Nooristan,,,0,9300,8700,18000,9300,8700,18000,1387
Kamdish,Nooristan,,,0,11500,11600,23100,11500,11600,23100,1387
Bargi Matal,Nooristan,,,0,7100,7100,14200,7100,7100,14200,1387
province center (Faiz Abad),Badakhshan,14700,14100,28800,15700,15300,31000,30400,29400,59800,1387
Yaftal-e-Sufla,Badakhshan,,,0,24200,23900,48100.004,24200,23900,48100.004,1387
Urgo,Badakhshan,,,0,36700,34600,71300,36700,34600,71300,1387
Darayem,Badakhshan,,,0,28400,27600,56000,28400,27600,56000,1387
Khash,Badakhshan,,,0,17600,17000,34600,17600,17000,34600,1387
Jurm,Badakhshan,1700,1500,3200,15600,15300,30900,17300,16800,34100,1387
Wardooj,Badakhshan,,,0,10200,9700,19900,10200,9700,19900,1387
Baharak,Badakhshan,,,0,13200,13000,26200,13200,13000,26200,1387
Shuhada,Badakhshan,,,0,16100,15300,31400,16100,15300,31400,1387
Hissa-e-Awali Kohistan,Badakhshan,,,0,7800,7300,15100,7800,7300,15100,1387
Yawan,Badakhshan,,,0,15200,14300,29500,15200,14300,29500,1387
Shahr-i-Buzurg,Badakhshan,,,0,24100,23500,47600,24100,23500,47600,1387
Kishm,Badakhshan,,,0,37600,35900,73500,37600,35900,73500,1387
Tagab,Badakhshan,,,0,13000,12500,25500,13000,12500,25500,1387
Tashkan,Badakhshan,,,0,14000,13200,27200,14000,13200,27200,1387
Keren –o-Menjan,Badakhshan,,,0,4400,4300,8700,4400,4300,8700,1387
Zebak,Badakhshan,,,0,3700,3400,7100,3700,3400,7100,1387
Eshkashem,Badakhshan,,,0,6400,6200,12600,6400,6200,12600,1387
Wakhan,Badakhshan,,,0,7000,6600,13600,7000,6600,13600,1387
Sheghnan,Badakhshan,,,0,13000,12300,25300,13000,12300,25300,1387
Arghanj Khwah,Badakhshan,,,0,7400,7300,14700,7400,7300,14700,1387
Raghistan,Badakhshan,,,0,18500,17500,36000,18500,17500,36000,1387
Khwahan,Badakhshan,,,0,7600,7500,15100,7600,7500,15100,1387
Kufab,Badakhshan,,,0,10200,10200,20400,10200,10200,20400,1387
Yamgan(Girwan),Badakhshan,,,0,12100,11300,23400,12100,11300,23400,1387
Darwaz-e- Bala (Nesay),Badakhshan,,,0,10600,10500,21100,10600,10500,21100,1387
Darwaz-e- Payin (Mamay),Badakhshan,,,0,12200,11900,24100,12200,11900,24100,1387
Shiki,Badakhshan,,,0,12100,11900,24000,12100,11900,24000,1387
province Center (Taluqan),Takhar,31500,31000,62500,72000,68800,140800,103500,99800,203300,1387
Hazar Sumuch,Takhar,,,0,6400,6100,12500,6400,6100,12500,1387
Baharak,Takhar,,,0,14300,13800,28100,14300,13800,28100,1387
Khwaja Ghar,Takhar,3100,3000,6100,27900,26800,54700,31000,29800,60800,1387
Bangi,Takhar,,,0,16100,15800,31900,16100,15800,31900,1387
Eshkamesh,Takhar,,,0,27200,26500,53700,27200,26500,53700,1387
Chal,Takhar,,,0,13300,12400,25700,13300,12400,25700,1387
Namak Ab,Takhar,,,0,5700,5400,11099.999,5700,5400,11099.999,1387
Farkhar,Takhar,1100,1200,2300,20500,19700,40200,21600,20900,42500,1387
Kalafgan,Takhar,,,0,16100,15900,32000,16100,15900,32000,1387
Rustaq,Takhar,5700,5400,11099.999,70700,67200,137900,76400,72600,149000,1387
Chahab,Takhar,10500,10000,20500,25700,24600,50300,36200,34600,70800,1387
Yangi Qala,Takhar,4300,3900,8200,16300,15700,32000,20600,19600,40200,1387
Khwaja Bahawuddin,Takhar,,,0,10600,10600,21200,10600,10600,21200,1387
Darqad,Takhar,,,0,12700,11800,24500,12700,11800,24500,1387
Dashti Qala,Takhar,,,0,14800,14300,29100,14800,14300,29100,1387
Warsaj,Takhar,,,0,17700,16800,34500,17700,16800,34500,1387
province Center (Pul-i-Khumri),Baghlan,47200,44900,92100,49300,46600,95900,96500,91500,188000,1387
Baghlan-e- Jadeed,Baghlan,29800,29500,59300,48800,46800,95600,78600,76300,154900,1387
Dahana-e-Ghuri,Baghlan,800,700,1500,26700,25300,52000,27500,26000,53500,1387
Dooshi,Baghlan,,,0,31100,29700,60800,31100,29700,60800,1387
Khenjan,Baghlan,,,0,14100,13600,27700,14100,13600,27700,1387
Andarab,Baghlan,,,0,11900,11300,23199.998,11900,11300,23199.998,1387
Nahreen,Baghlan,2300,2100,4400,29900,28500,58400,32200,30600,62800,1387
Burka,Baghlan,,,0,24600,23300,47900,24600,23300,47900,1387
Talah-o-barfak,Baghlan,,,0,14200,13300,27500,14200,13300,27500,1387
Pul –e-Hisar,Baghlan,,,0,13100,12100,25200,13100,12100,25200,1387
Deh Salah,Baghlan,,,0,15100,14000,29100,15100,14000,29100,1387
Khwaja hejran (Jalga),Baghlan,,,0,11200,10500,21700,11200,10500,21700,1387
Khost –o-Fereng,Baghlan,,,0,29500,27900,57400,29500,27900,57400,1387
Freng-o-Gharoo,Baghlan,,,0,7700,7400,15099.999,7700,7400,15099.999,1387
Gozargah-e- Noor,Baghlan,,,0,4800,4400,9200,4800,4400,9200,1387
province Center (Kunduz),Kunduz,65500,61900,127400,76400,74100,150500,141900,136000,277900,1387
Hazrati Imam Sahib,Kunduz,15500,14800,30300,91800,88400,180200,107300,103200,210500,1387
Qala –i-Zal,Kunduz,8300,7900,16200.001,23600,22900,46500,31900,30800,62700,1387
Chahar Darah,Kunduz,,,0,34000,32800,66800,34000,32800,66800,1387
Ali Abad,Kunduz,,,0,21700,21200,42900,21700,21200,42900,1387
Khan Abad,Kunduz,18200,17200,35400,55300,54500,109800,73500,71700,145200.02,1387
Dasht-i- Archi,Kunduz,1500,1300,2800,37500,36600,74100,39000,37900,76900,1387
province Center (Aybak),Samangan,12600,12600,25200,34800,33200,68000,47400,45800,93200,1387
Hazrat –i-Sultan,Samangan,,,0,19500,18200,37700,19500,18200,37700,1387
Feroz Nakhcheer,Samangan,,,0,6100,5800,11900,6100,5800,11900,1387
Dara -e-soof-e- Bala,Samangan,,,0,29700,29100,58800,29700,29100,58800,1387
Dara -e-soof-i-Payin,Samangan,,,0,33500,31500,65000,33500,31500,65000,1387
Rui- Do- Ab,Samangan,,,0,21600,19900,41500,21600,19900,41500,1387
Khuram Wa Sarbagh,Samangan,,,0,18500,17800,36300,18500,17800,36300,1387
province Center (Mazar-e- sharif),Balkh,167300,158800,326100,,,0,167300,158800,326100,1387
Dehdadi,Balkh,,,0,31400,29900,61300,31400,29900,61300,1387
Nahr-i-shahi,Balkh,,,0,20900,20000,40900,20900,20000,40900,1387
Marmul,Balkh,,,0,5200,5100,10300,5200,5100,10300,1387
Khulm,Balkh,22200,20900,43100.004,10400,10000,20400,32600.002,30900,63500.004,1387
Kaldar,Balkh,,,0,9300,8900,18200,9300,8900,18200,1387
Shortepa,Balkh,,,0,18500,17500,36000,18500,17500,36000,1387
Dawlat Abad,Balkh,4800,4500,9300,43800,41900,85700,48600,46400,95000,1387
Balkh,Balkh,6900,6500,13400,48300,46700,95000,55200,53200,108400,1387
Char Bolak,Balkh,,,0,37500,36100,73600,37500,36100,73600,1387
Chamtal,Balkh,,,0,42500,41000,83500,42500,41000,83500,1387
Sholgara,Balkh,4600,4400,9000,48200,46100,94300,52800,50500,103300,1387
Char kent,Balkh,,,0,20800,19700,40500,20800,19700,40500,1387
Koshendah,Balkh,,,0,22600,21700,44300,22600,21700,44300,1387
Zari,Balkh,,,0,20300,19600,39899.996,20300,19600,39899.996,1387
province Center (Sheberghan),Juzjan,35400,34400,69800,40400,39300,79700.008,75800,73700.008,149500,1387
Aqchah,Juzjan,10600,10200,20800.002,16800,16300,33100,27400,26500,53900,1387
Faizabad,Juzjan,,,0,19400,18500,37900,19400,18500,37900,1387
Mardyan,Juzjan,,,0,17800,17300,35100,17800,17300,35100,1387
Mingajik,Juzjan,,,0,20000,19000,39000,20000,19000,39000,1387
Qarqin,Juzjan,3400,3200,6600,7900,7700,15600,11300,10900,22200,1387
Khamyab,Juzjan,,,0,6500,6200,12700,6500,6200,12700,1387
Qush Tepa,Juzjan,,,0,10900,10500,21400,10900,10500,21400,1387
Darzab,Juzjan,900,900,1800,21900,21000,42900,22800,21900,44700,1387
Khwaja Dukoh,Juzjan,,,0,12500,12000,24500,12500,12000,24500,1387
Khanaqa,Juzjan,,,0,18200,17600,35800,18200,17600,35800,1387
province Center (Sar-e-Pul),Sar-i-Pul,13500,12700,26200,58600,55500,114100,72100,68200,140300,1387
Sozma Qala,Sar-i-Pul,,,0,22900,22100,45000,22900,22100,45000,1387
Sayyad,Sar-i-Pul,,,0,25700,24000,49700,25700,24000,49700,1387
Kohistanat,Sar-i-Pul,,,0,37300,35500,72800,37300,35500,72800,1387
Balkhab,Sar-i-Pul,,,0,23500,22300,45800,23500,22300,45800,1387
Sancharak,Sar-i-Pul,5700,5300,11000,41800,38900,80700,47500,44200,91700,1387
Gosfandi,Sar-i-Pul,,,0,25400,26200,51600,25400,26200,51600,1387
province Center (Maimana),Faryab,36600,34900,71500,,,0,36600,34900,71500,1387
Pashtun kot,Faryab,,,0,88300,83400,171700,88300,83400,171700,1387
Khuwaja Sabz Posh –i-Wali,Faryab,,,0,23700,22500,46200,23700,22500,46200,1387
Almar,Faryab,,,0,32400,31500,63900,32400.002,31500,63900,1387
Qaisar,Faryab,,,0,66300,63300,129600.01,66300,63300,129600.01,1387
Hissa-e-Awali Kohistan,Faryab,,,0,25200,24400,49600.004,25200,24400,49600.004,1387
Garziwan,Faryab,,,0,35000,34000,69000,35000,34000,69000,1387
Balcheragh,Faryab,,,0,24400,23100,47500,24400,23100,47500,1387
Sherin Tagab,Faryab,,,0,37900,36200,74100,37900,36200,74100,1387
Dawlat Abad,Faryab,2200,2200,4400,20200,19500,39700,22400,21700,44100,1387
Qaram Qul,Faryab,,,0,9000,8900,17900,9000,8900,17900,1387
Khan –i-Charbagh,Faryab,,,0,10700,10400,21100,10700,10400,21100,1387
Andkhoy,Faryab,14100,14100,28200,3600,3500,7100,17700,17600,35300.004,1387
Qurghan,Faryab,,,0,21700,21200,42900,21700,21200,42900,1387
province Center (Qala-i- Now),Badghis,6500,6200,12700,24100,23000,47100,30600,29200,59800,1387
Muqur,Badghis,,,0,11000,10600,21600,11000,10600,21600,1387
Ab Kamari,Badghis,,,0,34200,32700,66900,34200,32700,66900,1387
Qadis,Badghis,,,0,42700,40100,82800,42700,40100,82800,1387
Jawand,Badghis,,,0,36400,35400,71800,36400,35400,71800,1387
Ghormach,Badghis,,,0,25500,24600,50100,25500,24600,50100,1387
Murghab,Badghis,,,0,45200,43200,88400,45200,43200,88400,1387
province Center (Herat),Herat,196300,190300,386600,,,0,196300,190300,386600,1387
Enjil,Herat,,,0,113100,109400,222500,113100,109400,222500,1387
Guzera (Nizam-i- Shahid),Herat,,,0,67700,65900,133599.98,67700,65900,133599.98,1387
Pashtun Zarghun,Herat,,,0,46500,44700,91200,46500,44700,91200,1387
Karrukh,Herat,3100,2900,6000,26200,25700,51900,29300,28600,57900,1387
Kushk (Rubat-i-Sangi),Herat,7400,7300,14700,49600,48400,98000,57000,55700,112700.01,1387
Gulran,Herat,,,0,42900,42800,85700.008,42900,42800,85700.008,1387
Kohsan,Herat,,,0,24800,24700,49500,24800,24700,49500,1387
Ghoryan,Herat,15300,14600,29900,25100,24600,49700,40400,39200,79600,1387
Zendahjan,Herat,,,0,26100,25900,52000,26100,25900,52000,1387
Adraskan,Herat,,,0,24600,24300,48900,24600,24300,48900,1387
Shindand,Herat,2300,2100,4400,79600,78600,158200,81900,80700,162600,1387
Farsi,Herat,,,0,14400,13500,27900,14400,13500,27900,1387
Obeh,Herat,1500,1500,3000,33500,32300,65800,35000,33800,68800,1387
Chishti Sharif,Herat,,,0,11000,10600,21600,11000,10600,21600,1387
Kushk-i- Kuhna,Herat,,,0,21100,20500,41600,21100,20500,41600,1387
province Center (Farah),Farah,16500,15400,31900,35100,33600,68700,51600,49000,100600,1387
Posht Road,Farah,,,0,19000,18000,37000,19000,18000,37000,1387
Khak-i-safed,Farah,,,0,14000,13600,27600,14000,13600,27600,1387
Anar Dara,Farah,,,0,12900,12400,25300,12900,12400,25300,1387
Qala-i-kah,Farah,,,0,14200,13800,28000,14200,13800,28000,1387
Sheibkoh,Farah,,,0,10800,10500,21300,10800,10500,21300,1387
Lash-i- Jaween,Farah,,,0,13100,12400,25500,13100,12400,25500,1387
Bakwa,Farah,,,0,16600,15700,32300,16600,15700,32300,1387
